"Manage Products*","Manage Products*"
"Enhanced Product Grid","Enhanced Product Grid"
"About This Extension","About This Extension"
"Manage Products (Enhanced)","Manage Products (Enhanced)"
"WDCA Extensions","WDCA Extensions"
"Column Options","Column Options"
"Show Columns","Show Columns"
"Truncate Long Texts After X Characters ","Truncate Long Texts After X Characters "
"In-Grid Image Options","In-Grid Image Options"
"Show Image Url","Show Image Url"
"(When product image is hidden for that row)","(When product image is hidden for that row)"
"Show Image By Default","Show Image By Default"
"If your grid has a large page size by default this could get slow.",""If your grid has a large page size by default this could get slow."
"Image Width","Image Width"
"Image Height","Image Height"
"Default Grid State","Default Grid State"
"Sort Column Direction","Sort Column Direction"
"Sort Column","Sort Column"
"The selected column must be also selected above if it's not already there","The selected column must be also selected above if it's not already there"
"Initial Page Number","Initial Page Number"
"Page Size","Page Size"
"Total of %d record(s) were successfully refreshed.","Total of %d record(s) were successfully refreshed."
"Refresh Products","Refresh Products"
"Please select product(s)","Please select product(s)"
"Show Selected Images","Show Selected Images"
"Hide Selected Images","Hide Selected Images"
"Change Attribute Set","Change Attribute Set"
"Descending","Descending"
"Ascending","Ascending"
"Small Img","Small Img"
"Cost","Cost"
"Url Key","Url Key"
"Tier Price","Tier Price"
"Tax Class ID","Tax Class ID"
"Spshl TO Date","Spshl TO Date"
"Spshl FROM Date","Spshl FROM Date"
"Custom Design FRM","Custom Design FRM"
"Custom Design TO","Custom Design TO"
"Meta Keywds","Meta Keywds"
"Meta Descr","Meta Descr"
"Meta Title","Meta Title"
"Short Description","Short Description"
